16777216 16777471 AU AUSTRALIA QUEENSLAND SOUTH.BRISBANE -27.483330 153.016670 4101 +10:00
16777472 16778239 CN CHINA FUJIAN FUZHOU 26.061390 119.306110 - +08:00
16778240 16778495 AU AUSTRALIA VICTORIA MELBOURNE -37.814000 144.963320 8010 +10:00
16778496 16778751 AU AUSTRALIA NEW.SOUTH.WALES SYDNEY -33.867850 151.207320 2000 +10:00
16778752 16779263 AU AUSTRALIA - - -33.867850 151.207320 - +10:00
16779264 16781311 CN CHINA GUANGDONG GUANGZHOU 23.116670 113.250000 - +08:00
16781312 16785407 JP JAPAN TOKYO TOKYO 35.689506 139.691700 214-0021 +09:00
16785408 16793599 CN CHINA GUANGDONG GUANGZHOU 23.116670 113.250000 - +08:00
16793600 16797695 JP JAPAN HIROSHIMA HIROSHIMA 34.385280 132.455280 730-0011 +09:00
16797696 16797951 JP JAPAN TOKYO TOKYO 35.689506 139.691700 214-0021 +09:00
16797952 16798207 JP JAPAN HIROSHIMA HIROSHIMA 34.385280 132.455280 730-0011 +09:00
16798208 16798463 JP JAPAN TOKYO TOKYO 35.689506 139.691700 214-0021 +09:00
16798464 16801791 JP JAPAN HIROSHIMA HIROSHIMA 34.385280 132.455280 730-0011 +09:00
16801792 16802047 JP JAPAN TOKYO TOKYO 35.689506 139.691700 214-0021 +09:00
16802048 16805631 JP JAPAN HIROSHIMA HIROSHIMA 34.385280 132.455280 730-0011 +09:00
16805632 16805887 JP JAPAN TOKYO TOKYO 35.689506 139.691700 214-0021 +09:00
16805888 16809983 JP JAPAN HIROSHIMA HIROSHIMA 34.385280 132.455280 730-0011 +09:00
16809984 16813055 TH THAILAND KRUNG.THEP BANGKOK 13.750000 100.516670 10210 +07:00
16813056 16813311 TH THAILAND CHIANG.MAI CHIANG.MAI 18.790380 98.984680 50000 +07:00
